                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.72491,                0.34775,                0.77891,                 0.8349,                0.73564,                0.78641,                0.54524,                0.80768,                0.39091,                 0.7944,             0.00043325,             0.00043325,             0.00043325
                     68,                0.71357,                0.33556,                0.77674,                0.91844,                 0.7288,                0.82166,                0.56103,                0.76695,                0.36916,                0.79182,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70658,                0.33532,                 0.7768,                0.87075,                 0.7715,                0.81176,                0.56324,                0.77924,                0.36646,                0.79141,              0.0004085,              0.0004085,              0.0004085
                     70,                0.73631,                0.34178,                 0.7778,                0.89997,                0.74742,                0.82203,                0.56643,                0.78616,                 0.3676,                0.79203,             0.00039613,             0.00039613,             0.00039613
                     71,                0.71522,                0.33192,                  0.775,                 0.9282,                0.73189,                0.82072,                0.57176,                0.76711,                0.37579,                 0.7905,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.7049,                0.32996,                0.77423,                0.88318,                0.72625,                0.82488,                 0.5748,                0.76394,                0.36204,                0.78998,             0.00037138,             0.00037138,             0.00037138
                     73,                0.69281,                0.32205,                0.77529,                0.84787,                0.70397,                0.78142,                0.54825,                0.77405,                0.37867,                0.79135,               0.000359,               0.000359,               0.000359
                     74,                0.70587,                0.32882,                0.77646,                0.84098,                0.71934,                 0.8048,                0.55471,                0.77228,                0.37611,                0.79163,             0.00034663,             0.00034663,             0.00034663
                     75,                0.70216,                0.32613,                0.77558,                0.94004,                0.72564,                0.82472,                0.57161,                0.77613,                0.36404,                0.79142,             0.00033425,             0.00033425,             0.00033425
                     76,                0.67184,                0.31855,                0.77461,                0.93135,                0.75629,                0.83292,                0.57892,                0.77707,                0.36885,                0.79098,             0.00032188,             0.00032188,             0.00032188
                     77,                0.69338,                0.31925,                0.77516,                0.90169,                0.72914,                0.82194,                0.57926,                0.79354,                 0.3811,                0.79105,              0.0003095,              0.0003095,              0.0003095
                     78,                0.69326,                0.32483,                0.77404,                0.97064,                0.68912,                0.82107,                0.56753,                0.78072,                0.36925,                0.79252,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67631,                0.31792,                0.77331,                0.89859,                0.72161,                0.83189,                0.57202,                0.79689,                0.36969,                0.79307,             0.00028475,             0.00028475,             0.00028475
                     80,                0.67637,                0.31676,                0.77356,                0.89206,                0.73709,                0.82117,                0.57077,                  0.769,                0.36691,                0.79126,             0.00027237,             0.00027237,             0.00027237
                     81,                0.64888,                0.30819,                0.77386,                0.82832,                 0.7493,                 0.8125,                0.55992,                0.76954,                0.36316,                   0.79,                0.00026,                0.00026,                0.00026
                     82,                0.65041,                0.30856,                 0.7725,                0.88785,                0.72716,                0.81682,                0.55678,                0.78583,                0.36997,                0.79085,             0.00024762,             0.00024762,             0.00024762
                     83,                0.67248,                 0.3184,                0.77481,                0.88545,                0.72341,                 0.8174,                0.55763,                0.77149,                0.36484,                0.79025,             0.00023525,             0.00023525,             0.00023525
                     84,                0.66326,                0.31183,                0.77244,                 0.9046,                0.71153,                0.82763,                0.57564,                0.77929,                0.36279,                0.79023,             0.00022288,             0.00022288,             0.00022288
                     85,                0.66321,                0.31311,                0.77086,                0.85828,                0.72038,                0.81193,                0.56838,                0.77138,                0.36882,                0.79048,              0.0002105,              0.0002105,              0.0002105
                     86,                0.64525,                0.30404,                0.77332,                0.91353,                0.71376,                0.82331,                0.57604,                0.77869,                0.36586,                 0.7902,             0.00019813,             0.00019813,             0.00019813
                     87,                 0.6447,                0.30598,                0.77164,                0.84917,                0.75119,                0.81967,                0.57622,                 0.7751,                0.35474,                0.79131,             0.00018575,             0.00018575,             0.00018575
                     88,                0.65966,                0.30973,                0.77203,                0.94439,                0.71929,                 0.8311,                0.57168,                0.76914,                0.36162,                0.79032,             0.00017338,             0.00017338,             0.00017338
                     89,                0.63157,                0.29999,                0.77128,                0.91132,                0.73711,                0.82903,                0.57519,                0.76527,                0.35684,                0.79025,               0.000161,               0.000161,               0.000161
                     90,                0.63389,                0.29989,                0.77271,                0.82495,                0.71389,                0.81794,                 0.5784,                0.78506,                0.36051,                0.79061,             0.00014862,             0.00014862,             0.00014862
